model_name,val_loss_mean,val_loss_std,val_accuracy_mean,val_accuracy_std
All_3,0.8197876393795014,0.7013166666030883,0.06212054851468698,0.01699631539847101
All_3_OneDense,0.692460298538208,0.7412333309650421,0.022630139314046914,0.005811953889208831
SimpleModel_64Kernel,1.2616086542606353,0.5164833337068557,0.8507715129015314,0.33765217431256417
SimpleModel_LessDense_avg,0.5196827560663223,0.8107833385467529,0.040206360791417296,0.01786540581284304
SimpleModeLessDense,0.5280530899763107,0.8076999962329865,0.03166692413142723,0.015361348132078895
DoubleConv_LessDense_avg,0.5188404589891433,0.8083500027656555,0.041990964902880186,0.01855554924512086
